Lp.,Nazwa,NIP,Akcja,Miasto,Kod,Ulica,Komunikat
107,INVICTEL PIKUŁA SPÓŁKA JAWNA,5732932409,updated,Kamyk,42-125,Szkolna 9/HALA A,Zaktualizowano istniejący rekord. (Handlowiec: Ariel) (Brak dokładnych współrzędnych)
113,HERIN SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,7831845778,updated,Poznań,61-568,Wierzbięcice 44A/42B,Zaktualizowano istniejący rekord. (Handlowiec: Ariel) (Brak dokładnych współrzędnych)
128,FALCON ENERGY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚ,5423269870,updated,Białystok,15-426,pl. Rynek Kościuszki 30/4,Zaktualizowano istniejący rekord. (Handlowiec: Ariel) (Brak dokładnych współrzędnych)
134,Energiczni Sp. z o.o.,7123402509,updated,Warszawa,00-140,Al. Solidarności 117 lok. 207,Zaktualizowano istniejący rekord. (Handlowiec: Ariel) (Brak dokładnych współrzędnych)
140,Elektron Paweł Góralczyk,7182111819,updated,Łomża,18-400,gen. Władysława Sikorskiego 166/2.18,Zaktualizowano istniejący rekord. (Handlowiec: Ariel) (Brak dokładnych współrzędnych)
157,CRONEL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,7722426404,updated,Radomsko,97-500,M. Kolbe 31,Zaktualizowano istniejący rekord. (Handlowiec: Ariel) (Brak dokładnych współrzędnych)
172,Campero,5242173592,updated,Warszawa,01-909,Warszawa Sokratesa 15,Zaktualizowano istniejący rekord. (Handlowiec: Ariel) (Brak dokładnych współrzędnych)
191,BIENPLAST Elżbieta Bień,8731035336,updated,Dąbrówka Szczepanowska,33-115,Dąbrówka Szczepanowska 56,Zaktualizowano istniejący rekord. (Handlowiec: Ariel) (Brak dokładnych współrzędnych)
202,"AXUS M.Machnowski, M.Charzewski Sp.J.",5262219239,updated,Warszawa,00-609,Al. Niepodległości / Al. Armii Ludowej paw.14,Zaktualizowano istniejący rekord. (Handlowiec: Ariel) (Brak dokładnych współrzędnych)
203,AVS SERVICE SP. Z O.O.,6793237554,updated,Kraków,30-554,"Zamknięta 10, lok. 1.5",Zaktualizowano istniejący rekord. (Handlowiec: Ariel) (Brak dokładnych współrzędnych)
228,Andrzej Dopytalski,665-194-98-37,updated,Konin,62-510,Al. 1maja 2/7,Zaktualizowano istniejący rekord. (Handlowiec: Ariel) (Brak dokładnych współrzędnych)
231,"AM GENERAL ANETA MORAWSKA, wspólnik spółki cywilne",5341138216,updated,Pruszków,05-800,al. Wojska Polskiego 52/pawilon 3,Zaktualizowano istniejący rekord. (Handlowiec: Ariel) (Brak dokładnych współrzędnych)
238,"AKADEMIA ODKRYWCY Artur Pondo,",5262828990,updated,Ołtarzew,05-850,Duchnicka 40GE/2,Zaktualizowano istniejący rekord. (Handlowiec: Ariel) (Brak dokładnych współrzędnych)
242,Agencja Promocji JET Waldemar Piekarski,7391054623,updated,Barczewo,11-010,Os.Słoneczne 4/30 307,Zaktualizowano istniejący rekord. (Handlowiec: Ariel) (Brak dokładnych współrzędnych)
254,A&D Solutions Aleksandra Godzina,5242929699,updated,Warszawa,03-144,Swiatowida 51 lok. U1,Zaktualizowano istniejący rekord. (Handlowiec: Ariel) (Brak dokładnych współrzędnych)
264,"""VEGACOM"" SPÓŁKA AKCYJNA",8133693696,updated,Warszawa,02-566,Puławska 2/BUD. B,Zaktualizowano istniejący rekord. (Handlowiec: Ariel) (Brak dokładnych współrzędnych)
286,"""EUROINVESTMENT"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIAL",5423185216,updated,Białystok,15-281,Legionowa 28/807,Zaktualizowano istniejący rekord. (Handlowiec: Ariel) (Brak dokładnych współrzędnych)
312,WALDI Jakub Skibinski,7712269073,updated,Piotrków Tryb,97-300,Belzacka 181A,Zaktualizowano istniejący rekord. (Handlowiec: Mateusz) (Brak dokładnych współrzędnych)
324,SYSTEM SOLAR GROUP STACHNIAK RAFAŁ,9680159424,updated,Zbiersk,62-830,Zbiersk-Cukrownia 189A,Zaktualizowano istniejący rekord. (Handlowiec: Mateusz) (Brak dokładnych współrzędnych)
330,SUN MEDIA Oktawian Krzyżanowski,5070013358,updated,Smardzew,95-002,Józefów 28i,Zaktualizowano istniejący rekord. (Handlowiec: Mateusz) (Brak dokładnych współrzędnych)
369,PHOTON ENERGY OPERATIONS PL SPÓŁKA Z OGRANICZONĄ O,5272915414,updated,Łódź,90-364,Tylna 4F/U2,Zaktualizowano istniejący rekord. (Handlowiec: Mateusz) (Brak dokładnych współrzędnych)
426,FILAR ENERGII SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚ,7182155768,updated,Łomża,18-400,gen. Władysława Sikorskiego 166/0.03,Zaktualizowano istniejący rekord. (Handlowiec: Mateusz) (Brak dokładnych współrzędnych)
447,ECOSORPLEX SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,9512495073,updated,Warszawa,02-672,Domaniewska 17/19/133,Zaktualizowano istniejący rekord. (Handlowiec: Mateusz) (Brak dokładnych współrzędnych)
457,CRONEL Łukasz Kazimierczak,7722363626,updated,Radomsko,97-500,M. Kolbe 31,Zaktualizowano istniejący rekord. (Handlowiec: Mateusz) (Brak dokładnych współrzędnych)
464,CL Cargo Logistics Sp. z o. o.,9542787805,updated,Łagiewniki,58-210,Łagiewniki Stefanii Zboińskiej 18,Zaktualizowano istniejący rekord. (Handlowiec: Mateusz) (Brak dokładnych współrzędnych)
480,bras7.pl Biuro Rachunkowe Adam Śniatkowski,7811098060,updated,Poznań,61-719,POZNAŃ UL.  Gen.T. Kutrzeby 16G-133,Zaktualizowano istniejący rekord. (Handlowiec: Mateusz) (Brak dokładnych współrzędnych)
510,ATN DORADZTWO GOSPODARCZE TOMASZ NAJMROCKI (1),8371205551,updated,SOCHACZEW,96-500,15SIERPNIA 12A,Zaktualizowano istniejący rekord. (Handlowiec: Mateusz) (Brak dokładnych współrzędnych)
514,ASETIA Błażej Rogowski,9661787289,updated,Warszawa,02-972,Prymasa Augusta Hlonda 10H/200,Zaktualizowano istniejący rekord. (Handlowiec: Mateusz) (Brak dokładnych współrzędnych)
531,AMB studio Michał Białek,7822203804,updated,Swarzędz,62-020,os. Tytusa Działyńskiego 33A,Zaktualizowano istniejący rekord. (Handlowiec: Mateusz) (Brak dokładnych współrzędnych)
537,ALE Sp. z o.o. Sp. kom.,6130002733,updated,Pisarzowice,59-800,240 D,Zaktualizowano istniejący rekord. (Handlowiec: Mateusz) (Brak dokładnych współrzędnych)
540,AirsportsPolska,9491496675,updated,RĘDZINY,42-242,ul Okupnicka 9a,Zaktualizowano istniejący rekord. (Handlowiec: Mateusz) (Brak dokładnych współrzędnych)
545,ADVENTURE VAN Conversions KRZYSZTOF JAWORSKI,7343173407,updated,Stary Sącz,33-340,Królowa Polska 153,Zaktualizowano istniejący rekord. (Handlowiec: Mateusz) (Brak dokładnych współrzędnych)
546,Adrian Borowy,5661947147,updated,Gdańsk,80-177,"Damroki, 79/11 79/11",Zaktualizowano istniejący rekord. (Handlowiec: Mateusz) (Brak dokładnych współrzędnych)
550,Adam Dąbek WAVE,7611555512,updated,Nowy Dwór Mazowiecki,05-101,Trzciany ul. Granitowa 96,Zaktualizowano istniejący rekord. (Handlowiec: Mateusz) (Brak dokładnych współrzędnych)
552,ABC INSTAL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,9930667074,updated,Tarnów,33-100,Juliusza Słowackiego 33-37/5,Zaktualizowano istniejący rekord. (Handlowiec: Mateusz) (Brak dokładnych współrzędnych)
559,1. CAPITAL APARTMENTS MARCIN WIRA; 2. FOTOWIR.PL M,5262188705,updated,Warszawa,00-199,Pokorna 2/U15A,Zaktualizowano istniejący rekord. (Handlowiec: Mateusz) (Brak dokładnych współrzędnych)
642,SOLAR MARKET  SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚ,7812024170,updated,Poznań,60-650,Obornicka 229/219,Zaktualizowano istniejący rekord. (Handlowiec: Paweł) (Brak dokładnych współrzędnych)
654,"Rafał Kaziak ""RALFI""",8451875710,updated,Sulimy,11-500,Sulimy 84a,Zaktualizowano istniejący rekord. (Handlowiec: Paweł) (Brak dokładnych współrzędnych)
693,M.K Fotowoltaika Katarzyna Karwala,6292408365,updated,Porąbka Iwkowska,32-862,Wojakowa 350,Zaktualizowano istniejący rekord. (Handlowiec: Paweł) (Brak dokładnych współrzędnych)
714,HG ELEKTRO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,7792482425,updated,Poznań,60-792,Wojskowa 6/A6 I A8,Zaktualizowano istniejący rekord. (Handlowiec: Paweł) (Brak dokładnych współrzędnych)
719,GLSE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,7252284845,updated,Łódź,93-465,Stanisława Dubois 114/116/0.06,Zaktualizowano istniejący rekord. (Handlowiec: Paweł) (Brak dokładnych współrzędnych)
726,FIRMA LIMA - SOFT Mąka Jacek,7372004251,updated,Mordarka,34-600,Mordarka 707,Zaktualizowano istniejący rekord. (Handlowiec: Paweł) (Brak dokładnych współrzędnych)
762,CONVICAR SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,7532451095,updated,Nysa,48-304,Marszałka Józefa Piłsudskiego 33/1U,Zaktualizowano istniejący rekord. (Handlowiec: Paweł) (Brak dokładnych współrzędnych)
766,CK Frost Sp. z o. o.,8882892363,updated,Śmiłowice,87-850,85,Zaktualizowano istniejący rekord. (Handlowiec: Paweł) (Brak dokładnych współrzędnych)
782,BOŻENA GRABOWSKA,6692047066,updated,Mścice,76-031,Dobiesławiec 12,Zaktualizowano istniejący rekord. (Handlowiec: Paweł) (Brak dokładnych współrzędnych)
783,Borotek Paweł Borowik,625-164-89-25,updated,Będzin,42-500,H. Sienkiewicza 33,Zaktualizowano istniejący rekord. (Handlowiec: Paweł) (Brak dokładnych współrzędnych)
794,BESOLAR SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,5242899194,updated,Olsztyn,10-685,Franciszka Barcza 58/U18,Zaktualizowano istniejący rekord. (Handlowiec: Paweł) (Brak dokładnych współrzędnych)
799,BaranInPublic,6121867362,updated,Wroclaw,50-427,Krakowska 88cf147,Zaktualizowano istniejący rekord. (Handlowiec: Paweł) (Brak dokładnych współrzędnych)
804,AW-POL Waldemar Olejniczak,8721141232,updated,Wadowice Górne,39-308,Zgórsko 38A,Zaktualizowano istniejący rekord. (Handlowiec: Paweł) (Brak dokładnych współrzędnych)
853,AC GROUP ENTERPRISE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZ,8971856676,updated,Wrocław,50-020,marsz. Józefa Piłsudskiego 74/320,Zaktualizowano istniejący rekord. (Handlowiec: Paweł) (Brak dokładnych współrzędnych)
886,"""G`S POLSKA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚC",7481474694,updated,Złotniki Kujawskie,88-180,Stefanowo 1A,Zaktualizowano istniejący rekord. (Handlowiec: Paweł) (Brak dokładnych współrzędnych)
891,"""EL -TOM"" Tomasz Grzeszkowiak",9231490799,updated,Zbąszyń,64-360,Sienkiewicza1,Zaktualizowano istniejący rekord. (Handlowiec: Paweł) (Brak dokładnych współrzędnych)
920,TRAFFICOM Technologies Sp. z o.o.,8513229574,updated,Szczecin,70-035,Kolumba 60a lok. 402,Zaktualizowano istniejący rekord. (Handlowiec: Piotr) (Brak dokładnych współrzędnych)
949,ROKEL Roman Klimiuk,5431403691,updated,Białystok,15-113,gen. Władysława Andersa 40/paw. 6A,Zaktualizowano istniejący rekord. (Handlowiec: Piotr) (Brak dokładnych współrzędnych)
953,RAKED SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,5851480066,updated,Sopot,81-810,al. Niepodległości 813-815/11,Zaktualizowano istniejący rekord. (Handlowiec: Piotr) (Brak dokładnych współrzędnych)
955,PV TECHNIK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,1133008484,updated,Warszawa,03-307,Aleksandra Kotsisa 2/4/30,Zaktualizowano istniejący rekord. (Handlowiec: Piotr) (Brak dokładnych współrzędnych)
964,POWER SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,9562336879,updated,Toruń,87-100,Kujawska 1/54-55,Zaktualizowano istniejący rekord. (Handlowiec: Piotr) (Brak dokładnych współrzędnych)
965,POLSKI INSTYTUT FOTOWOLTAIKI SPÓŁKA Z OGRANICZONĄ,8542430735,updated,Stargard,73-110,Brzozowa 1D/U1,Zaktualizowano istniejący rekord. (Handlowiec: Piotr) (Brak dokładnych współrzędnych)
968,PHU DANDIS,8821018838,updated,Dzierżoniów,58-200,"PODAWLNA, 11",Zaktualizowano istniejący rekord. (Handlowiec: Piotr) (Brak dokładnych współrzędnych)
997,LEGION PAWEŁ RACHOŃ,5831042541,updated,Gdańsk,80-826,Ogarna 85/86/6,Zaktualizowano istniejący rekord. (Handlowiec: Piotr) (Brak dokładnych współrzędnych)
1016,GREEN ENERGY MATEUSZ BROLIK,9691636336,updated,Gliwice,44-121,Szafirowa 55j/17,Zaktualizowano istniejący rekord. (Handlowiec: Piotr) (Brak dokładnych współrzędnych)
1025,"Firma Handlowo Usługowa ""KMS"" Ewelina Stanisławczy",8133472647,updated,Lutcza,38-112,Lutcza 688A,Zaktualizowano istniejący rekord. (Handlowiec: Piotr) (Brak dokładnych współrzędnych)
1028,FDC Dawid Puchalik,5472060101,updated,Mazańcowice,43-391,Mazańcowice 321,Zaktualizowano istniejący rekord. (Handlowiec: Piotr) (Brak dokładnych współrzędnych)
1030,EPG SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,5871706119,updated,Sopot,81-874,Mikołaja Reja 13/15/216,Zaktualizowano istniejący rekord. (Handlowiec: Piotr) (Brak dokładnych współrzędnych)
1033,ENERGO-EKO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,5932607246,updated,Tczew,83-110,30-go Stycznia 46,Zaktualizowano istniejący rekord. (Handlowiec: Piotr) (Brak dokładnych współrzędnych)
1039,Elektrotechnika Grzegorz  Malesa,5342208143,updated,Brwinów,05-840,Domaniew ul. Warsa i Sawy 7,Zaktualizowano istniejący rekord. (Handlowiec: Piotr) (Brak dokładnych współrzędnych)
1040,"ElektroFarma Zbigniew Fortuński, Dariusz Machcińsk",5223169448,updated,Warszawa,01-373,Jana Olbrachta 112A/35,Zaktualizowano istniejący rekord. (Handlowiec: Piotr) (Brak dokładnych współrzędnych)
1052,Daniel Nowak SERWIS PRZYCZEP,9442111416,updated,Wielkie Drogi,32-051,Facimiech 113,Zaktualizowano istniejący rekord. (Handlowiec: Piotr) (Brak dokładnych współrzędnych)
1079,BRS Instal Bartłomiej Żeglarski,8792625569,updated,Rzęczkowo,87-133,Siemoń 50,Zaktualizowano istniejący rekord. (Handlowiec: Piotr) (Brak dokładnych współrzędnych)
1086,BIURO INWESTYCYJNO PROJEKTOWE,8761072164,updated,KISIEICE,14-220,KOLEJOWA 6,Zaktualizowano istniejący rekord. (Handlowiec: Piotr) (Brak dokładnych współrzędnych)
1099,AZYMUT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,8943165173,updated,Wrocław,54-203,Legnicka 57W/17,Zaktualizowano istniejący rekord. (Handlowiec: Piotr) (Brak dokładnych współrzędnych)
1104,AUTOMATIC (1),6851936383,updated,PRZYSIEKI,38-207,TRZCINICA 648,Zaktualizowano istniejący rekord. (Handlowiec: Piotr) (Brak dokładnych współrzędnych)
1130,AM Solutions ARKADIUSZ WIECZOREK,6651893290,updated,Poznań,61-611,Naramowicka 219A/22,Zaktualizowano istniejący rekord. (Handlowiec: Piotr) (Brak dokładnych współrzędnych)
1132,ALPITECH Adam Pacuszka,7571295038,updated,Warszawa,03-140,Odkryta 44C/23,Zaktualizowano istniejący rekord. (Handlowiec: Piotr) (Brak dokładnych współrzędnych)
1138,AJOSS PLUS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,6060094232,updated,Boruchowo,64-630,Boruchowo 11A,Zaktualizowano istniejący rekord. (Handlowiec: Piotr) (Brak dokładnych współrzędnych)
1147,Adam Pokrzywnicki,Mazowiecki,updated,"Okuniew, pow. miński",05-079,Leśna 14,Zaktualizowano istniejący rekord. (Handlowiec: Piotr) (Brak dokładnych współrzędnych)
1201,"""AM-Trans"" Artur Dudek , Marian Misiewicz Sp. J.",7952299665,updated,Medyka,37-732,Medyka 405a/60,Zaktualizowano istniejący rekord. (Handlowiec: Piotr) (Brak dokładnych współrzędnych)
